stage,relative_root,image_files_total,label_txt_total,yolo_label_files,yolo_empty_label_files,yolo_valid_box_lines,yolo_invalid_lines,yolo_unknown_classes,yolo_out_of_range_boxes,class_counts,split_images,split_labels,names
raw,datasets\raw\roboflow_cigarette_smoke_detection_v4_20260504\extracted,51,46,46,3,41,2,0,0,"{""0:Cigar in hand"": 20, ""1:Cigar near mouth"": 21}","{""train"": 5, ""val"": 0, ""valid"": 0, ""test"": 46}","{""train"": 0, ""val"": 0, ""valid"": 0, ""test"": 46}","{""0"": ""Cigar in hand"", ""1"": ""Cigar near mouth"", ""2"": ""cold breath vapor"", ""3"": ""sunlight""}"
interim,datasets\interim\hardcase_labeling_workspace_20260503,120,120,120,70,89,0,0,0,"{""0:cigarette"": 71, ""2:smoke"": 18}","{""train"": 120, ""val"": 0, ""valid"": 0, ""test"": 0}","{""train"": 120, ""val"": 0, ""valid"": 0, ""test"": 0}","{""0"": ""cigarette"", ""1"": ""smoking_person"", ""2"": ""smoke""}"
interim,datasets\interim\cigarette_yolo,4663,4663,4663,0,7021,0,0,0,"{""0:0"": 7021}","{""train"": 3269, ""val"": 697, ""valid"": 0, ""test"": 697}","{""train"": 3269, ""val"": 697, ""valid"": 0, ""test"": 697}",{}
interim,datasets\interim\hmdb51_smoke_hardcase_pseudo,90,180,180,128,33,33,0,0,"{""0:cigarette"": 33}","{""train"": 90, ""val"": 0, ""valid"": 0, ""test"": 0}","{""train"": 180, ""val"": 0, ""valid"": 0, ""test"": 0}","{""0"": ""cigarette"", ""1"": ""smoking_person"", ""2"": ""smoke""}"
interim,datasets\interim\roboflow_cigarette_smoke_detection_v4_yolo3cls,413,413,413,25,388,0,0,0,"{""0:cigarette"": 388}","{""train"": 284, ""val"": 83, ""valid"": 0, ""test"": 46}","{""train"": 284, ""val"": 83, ""valid"": 0, ""test"": 46}","{""0"": ""cigarette"", ""1"": ""smoking_person"", ""2"": ""smoke""}"
interim,datasets\interim\aistudio_yolo,783,783,783,0,816,0,0,0,"{""2:2"": 816}","{""train"": 0, ""val"": 0, ""valid"": 0, ""test"": 0}","{""train"": 0, ""val"": 0, ""valid"": 0, ""test"": 0}",{}
interim,datasets\interim\roboflow_remap,18269,18269,18269,48,25579,6,0,0,"{""1:1"": 25579}","{""train"": 16797, ""val"": 740, ""valid"": 0, ""test"": 732}","{""train"": 16797, ""val"": 740, ""valid"": 0, ""test"": 732}",{}
interim,datasets\interim\smoke_legacy_yolo,356,356,356,0,455,0,0,0,"{""2:2"": 455}","{""train"": 248, ""val"": 54, ""valid"": 0, ""test"": 54}","{""train"": 248, ""val"": 54, ""valid"": 0, ""test"": 54}",{}
interim,datasets\interim\smoke_yolo,4898,4898,4898,0,5770,0,0,0,"{""2:2"": 5770}","{""train"": 3427, ""val"": 736, ""valid"": 0, ""test"": 735}","{""train"": 3427, ""val"": 736, ""valid"": 0, ""test"": 735}",{}
final,datasets\final\smoking_yolo_3cls_full,28915,28915,28915,0,39641,0,0,0,"{""2:2"": 7041, ""0:0"": 7021, ""1:1"": 25579}","{""train"": 24237, ""val"": 2342, ""valid"": 0, ""test"": 2336}","{""train"": 24237, ""val"": 2342, ""valid"": 0, ""test"": 2336}",{}
final,datasets\final\smoking_yolo_3cls_balanced,11940,11940,11940,0,15762,0,0,0,"{""2:2"": 7041, ""0:0"": 7021, ""1:1"": 1700}","{""train"": 8648, ""val"": 1642, ""valid"": 0, ""test"": 1650}","{""train"": 8648, ""val"": 1642, ""valid"": 0, ""test"": 1650}",{}
final,datasets\final\smoking_yolo_3cls,1321,1711,1711,0,3309,0,0,0,"{""1:1"": 3067, ""2:2"": 242}","{""train"": 6, ""val"": 465, ""valid"": 0, ""test"": 850}","{""train"": 6, ""val"": 855, ""valid"": 0, ""test"": 850}",{}
final,datasets\final\smoke_bal,18236,18236,18236,0,24624,0,0,0,"{""2:2"": 7041, ""0:0"": 7021, ""1:1"": 10562}","{""train"": 14416, ""val"": 1895, ""valid"": 0, ""test"": 1925}","{""train"": 14416, ""val"": 1895, ""valid"": 0, ""test"": 1925}",{}
